Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,351,-288.865,61.7699,702.0,0.4409,118.4667
Gieseking,352,161.4659,43.6938,704.0,0.3622,118.8333
Gieseking,353,166.921,-20.1108,706.0,0.3701,119.5
Gieseking,354,-60.1761,-224.9601,708.0,0.3465,120.0167
Gieseking,355,-61.8631,230.892,710.0,0.3622,122.6833
Gieseking,356,-285.8973,85.7325,712.0,0.4331,122.75
Gieseking,357,-252.7158,145.2644,714.0,0.4252,123.4167
Gieseking,358,-290.172,-63.9255,716.0,0.4016,124.2333
Gieseking,359,-144.0633,224.3448,718.0,0.4016,124.75
Gieseking,360,-299.6486,2.9439,720.0,0.4016,124.8167
Gieseking,361,-169.4859,212.7236,722.0,0.3937,125.3833
Gieseking,362,-11.4325,230.2827,724.0,0.3622,126.0
Gieseking,363,-213.935,179.4708,726.0,0.3622,126.8167
Gieseking,364,-67.7632,-237.789,728.0,0.3701,127.0333
Gieseking,365,-93.0145,229.9693,730.0,0.3228,128.15
Gieseking,366,64.2477,206.9953,732.0,0.378,128.7667
Gieseking,367,-270.6715,118.2272,734.0,0.378,128.8833
Gieseking,368,-228.2176,171.3356,736.0,0.3622,129.55
Gieseking,369,-294.4182,38.0591,738.0,0.3307,131.1167
Gieseking,370,176.8281,31.2238,740.0,0.3228,133.0333
Gieseking,371,71.6997,204.3652,742.0,0.3228,136.2
Gieseking,372,-5.7823,240.1897,744.0,0.3228,138.5167
Gieseking,373,-315.4093,-10.4329,746.0,0.3701,140.2333
Gieseking,374,132.8981,-162.7291,748.0,0.3465,140.45
Gieseking,375,158.5357,119.1689,750.0,0.3228,140.5167
Gieseking,376,-92.8011,253.9825,752.0,0.3701,140.5833
Gieseking,377,-301.8147,59.7814,754.0,0.3228,140.65
Gieseking,378,-11.9319,-254.2633,756.0,0.3858,140.8167
Gieseking,379,190.5969,54.9991,758.0,0.3701,140.9333
Gieseking,380,-20.0777,255.9178,760.0,0.3858,141.0
Gieseking,381,-306.1234,-69.2984,762.0,0.3622,141.1667
Gieseking,382,19.3277,-253.1609,764.0,0.4252,141.2833
Gieseking,383,186.4194,85.1935,766.0,0.3937,141.4
Gieseking,384,-150.7345,239.555,768.0,0.3622,141.5167
Gieseking,385,-301.3154,-99.5521,770.0,0.3937,141.6333
Gieseking,386,192.1174,-92.1225,772.0,0.4409,141.85
Gieseking,387,112.5987,196.3467,774.0,0.3937,141.9167
Gieseking,388,-175.6034,222.6617,776.0,0.3228,141.9833
Gieseking,389,-127.9907,-252.821,778.0,0.3937,142.2
Gieseking,390,158.6895,-160.628,780.0,0.4567,142.2667
Gieseking,391,-110.5218,254.8623,782.0,0.378,142.4833
Gieseking,392,-318.2628,45.6901,784.0,0.3937,142.55
Gieseking,393,-196.2149,-224.2313,786.0,0.3937,142.6167
Gieseking,394,196.7191,74.7404,788.0,0.4252,142.8333
Gieseking,395,-37.3514,258.208,790.0,0.3701,142.9
Gieseking,396,-290.4148,113.6675,792.0,0.3543,142.9667
Gieseking,397,-248.6303,-172.8299,794.0,0.3465,143.0333
Gieseking,398,215.0232,0.0332,796.0,0.4724,143.25
Gieseking,399,32.3849,237.7127,798.0,0.3386,143.3167
Gieseking,400,-262.9959,185.9022,800.0,0.4724,143.425
Gieseking,401,-291.069,-114.0595,802.0,0.3543,143.5333
Gieseking,402,-37.1034,-260.3145,804.0,0.378,143.6
Gieseking,403,144.54,-166.4429,806.0,0.3937,143.6167
Gieseking,404,101.2131,210.3745,808.0,0.4016,143.7333
Gieseking,405,-277.0352,156.4745,810.0,0.4173,143.85
Gieseking,406,-212.8081,-225.5525,812.0,0.4488,143.9667
Gieseking,407,167.0601,-144.34,814.0,0.4252,144.0833
Gieseking,408,155.9278,158.6797,816.0,0.4173,144.15
Gieseking,409,81.901,238.3202,818.0,0.4803,144.1167
Gieseking,410,-282.8899,124.0449,820.0,0.3307,144.2333
Gieseking,411,118.8347,-203.3417,822.0,0.4331,144.5
Gieseking,412,192.1899,92.2179,824.0,0.4173,144.5667
Gieseking,413,-245.6846,-194.6523,826.0,0.4173,144.9333
Gieseking,414,53.6761,-242.6106,828.0,0.4094,145.0
Gieseking,415,112.6799,203.5968,830.0,0.4016,145.1667
Gieseking,416,-276.0558,172.6577,832.0,0.4646,145.2833
Gieseking,417,-215.0081,-206.0292,834.0,0.3386,145.4
Gieseking,418,192.0664,-55.2579,836.0,0.3386,145.5667
Gieseking,419,82.2365,214.0034,838.0,0.3307,145.6333
Gieseking,420,-289.2238,142.8824,840.0,0.4173,145.75
Gieseking,421,-94.2584,-265.7715,842.0,0.4016,145.9167
Gieseking,422,179.5225,-130.5382,844.0,0.4331,145.9833
Gieseking,423,63.0248,242.3184,846.0,0.4252,146.1
Gieseking,424,-317.7003,121.5042,848.0,0.5118,146.2167
